rule_id,bt_id,business_term_name,business_unit,table_name,target_column,execution_column,dq_dimension,rule_type,source_row,record_identifier,failed_value,failure_reason
DQ-00006,BT-0001,Business Unit Code,ALU,aluminum_production,business_unit,last_updated,Timeliness,maximum_age_days,29,ALU-0000028,2024-06-21 05:39:32.116000,Record is stale or has no valid update timestamp.
DQ-00006,BT-0001,Business Unit Code,ALU,aluminum_production,business_unit,last_updated,Timeliness,maximum_age_days,87,ALU-0000086,2025-05-20 05:39:32.128000,Record is stale or has no valid update timestamp.
DQ-00006,BT-0001,Business Unit Code,ALU,aluminum_production,business_unit,last_updated,Timeliness,maximum_age_days,88,ALU-0000087,2025-04-08 05:39:32.114000,Record is stale or has no valid update timestamp.
DQ-00006,BT-0001,Business Unit Code,ALU,aluminum_production,business_unit,last_updated,Timeliness,maximum_age_days,110,ALU-0000109,2024-07-25 05:39:32.124000,Record is stale or has no valid update timestamp.
DQ-00006,BT-0001,Business Unit Code,ALU,aluminum_production,business_unit,last_updated,Timeliness,maximum_age_days,112,ALU-0000111,2025-03-11 05:39:32.132000,Record is stale or has no valid update timestamp.
DQ-00006,BT-0001,Business Unit Code,ALU,aluminum_production,business_unit,last_updated,Timeliness,maximum_age_days,139,ALU-0000138,2024-02-17 05:39:32.122000,Record is stale or has no valid update timestamp.
DQ-00006,BT-0001,Business Unit Code,ALU,aluminum_production,business_unit,last_updated,Timeliness,maximum_age_days,172,ALU-0000171,2025-03-27 05:39:32.110000,Record is stale or has no valid update timestamp.
DQ-00006,BT-0001,Business Unit Code,ALU,aluminum_production,business_unit,last_updated,Timeliness,maximum_age_days,247,ALU-0000246,2024-11-19 05:39:32.127000,Record is stale or has no valid update timestamp.
DQ-00006,BT-0001,Business Unit Code,ALU,aluminum_production,business_unit,last_updated,Timeliness,maximum_age_days,286,ALU-0000285,2024-06-09 05:39:32.125000,Record is stale or has no valid update timestamp.
DQ-00006,BT-0001,Business Unit Code,ALU,aluminum_production,business_unit,last_updated,Timeliness,maximum_age_days,301,ALU-0000300,2024-04-20 05:39:32.112000,Record is stale or has no valid update timestamp.
DQ-00006,BT-0001,Business Unit Code,ALU,aluminum_production,business_unit,last_updated,Timeliness,maximum_age_days,311,ALU-0000310,2024-06-13 05:39:32.124000,Record is stale or has no valid update timestamp.
DQ-00006,BT-0001,Business Unit Code,ALU,aluminum_production,business_unit,last_updated,Timeliness,maximum_age_days,320,ALU-0000319,2025-06-19 05:39:32.133000,Record is stale or has no valid update timestamp.
DQ-00006,BT-0001,Business Unit Code,ALU,aluminum_production,business_unit,last_updated,Timeliness,maximum_age_days,352,ALU-0000351,2024-08-25 05:39:32.129000,Record is stale or has no valid update timestamp.
DQ-00006,BT-0001,Business Unit Code,ALU,aluminum_production,business_unit,last_updated,Timeliness,maximum_age_days,354,ALU-0000353,2024-10-10 05:39:32.129000,Record is stale or has no valid update timestamp.
DQ-00006,BT-0001,Business Unit Code,ALU,aluminum_production,business_unit,last_updated,Timeliness,maximum_age_days,374,ALU-0000373,2025-04-05 05:39:32.127000,Record is stale or has no valid update timestamp.
DQ-00006,BT-0001,Business Unit Code,ALU,aluminum_production,business_unit,last_updated,Timeliness,maximum_age_days,403,ALU-0000402,2025-03-30 05:39:32.129000,Record is stale or has no valid update timestamp.
